FID,objectid,income,race,family_lon,family_lat
0,1,1,1,-95.438629000000006,44.044136000000002
1,2,1,1,-95.766563000000005,44.448402000000002
2,3,1,1,-95.768799000000001,44.451000000000001
3,4,1,1,-95.769272000000001,44.451511000000004
4,5,1,1,-95.780677999999995,44.430095999999999
5,6,1,1,-95.873870999999994,44.232109000000001
6,7,1,1,-95.785919000000007,44.446109999999997
7,8,1,1,-95.627121000000002,44.239345999999998
8,9,1,1,-95.804687999999999,44.432448999999998
9,10,1,1,-95.989998000000000,44.339016000000001
10,11,1,1,-95.816872000000004,44.435028000000003
11,12,1,1,-96.067665000000005,44.601813999999997
12,13,1,1,-95.788482999999999,44.454376000000003
13,14,1,1,-95.792282000000000,44.451282999999997
14,15,1,1,-95.979736000000003,44.561988999999997
15,16,1,1,-95.787047999999999,44.333728999999998
16,17,1,1,-95.788887000000003,44.430584000000003
17,18,1,1,-95.758483999999996,44.462466999999997
18,19,1,1,-95.770049999999998,44.456673000000002
19,20,1,1,-95.780806999999996,44.455750000000002
20,21,1,1,-95.784392999999994,44.459735999999999
21,22,1,1,-95.788466999999997,44.459499000000001
22,23,1,1,-95.772132999999997,44.449001000000003
23,24,1,1,-95.941185000000004,43.631428000000000
24,25,1,1,-95.570426999999995,43.778785999999997
25,26,1,1,-96.021629000000004,43.515976000000002
26,27,1,1,-95.587913999999998,43.638385999999997
27,28,1,1,-95.584845999999999,43.612869000000003
28,29,1,1,-95.601478999999998,43.620536999999999
29,30,1,1,-96.016174000000007,43.515194000000001
30,31,1,1,-95.966560000000001,43.679282999999998
31,32,1,1,-96.003653999999997,43.795589000000000
32,33,1,1,-95.565597999999994,43.535637000000001
33,34,1,1,-95.825492999999994,43.763927000000002
34,35,1,1,-95.606560000000002,43.622551000000001
35,36,1,1,-95.574875000000006,43.804226000000000
36,37,1,1,-95.828354000000004,43.763252000000001
37,38,1,1,-95.594414000000000,43.624527000000000
38,39,1,1,-95.594893999999996,43.623683999999997
39,40,1,1,-95.582358999999997,43.618561000000000
40,41,1,1,-95.650611999999995,43.573090000000001
41,42,1,1,-95.608497999999997,43.536411000000001
42,43,1,1,-95.581871000000007,43.618923000000002
43,44,1,1,-95.472014999999999,43.694336000000000
44,45,1,1,-95.828620999999998,43.760432999999999
45,46,1,1,-96.314521999999997,43.999146000000003
46,47,1,1,-96.311385999999999,43.999690999999999
47,48,1,1,-96.121825999999999,43.996464000000003
48,49,1,1,-96.312447000000006,43.999564999999997
49,50,1,1,-96.312980999999994,44.000359000000003
50,51,1,1,-96.314819000000000,43.998108000000002
51,52,1,1,-96.322624000000005,43.998089000000000
52,53,1,1,-96.321724000000003,43.993614000000001
53,54,1,1,-96.323845000000006,44.001784999999998
54,55,1,1,-96.326949999999997,44.004165999999998
55,56,1,1,-96.311622999999997,43.995151999999997
56,57,1,1,-95.545592999999997,44.370097999999999
57,58,1,1,-96.215278999999995,43.665858999999998
58,59,1,1,-96.209182999999996,43.658051000000000
59,60,1,1,-96.216506999999993,43.650635000000001
60,61,1,1,-96.219604000000004,43.649948000000002
61,62,1,1,-96.204712000000001,43.652518999999998
62,63,1,1,-96.215912000000003,43.645057999999999
63,64,1,1,-96.352676000000002,43.527358999999997
64,65,1,1,-96.209723999999994,43.658130999999997
65,66,1,1,-96.217299999999994,43.647773999999998
66,67,1,1,-96.203445000000002,43.656619999999997
67,68,1,1,-96.218529000000004,43.654705000000000
68,69,1,1,-96.208054000000004,43.654750999999997
69,70,1,1,-95.803916999999998,44.791924000000002
70,71,1,1,-95.546661000000000,44.807651999999997
71,72,1,1,-93.984177000000003,44.182465000000001
72,73,1,1,-93.963363999999999,43.923439000000002
73,74,1,1,-93.974402999999995,44.157496999999999
74,75,1,1,-93.974525000000000,44.157294999999998
75,76,1,1,-93.974632000000000,44.157299000000002
76,77,1,1,-93.885536000000002,44.158484999999999
77,78,1,1,-94.007705999999999,44.157570000000000
78,79,1,1,-93.874397000000002,44.164893999999997
79,80,1,1,-93.818115000000006,44.198605000000001
80,81,1,1,-94.201865999999995,44.064518000000000
81,82,1,1,-94.158798000000004,44.046391000000000
82,83,1,1,-93.973640000000003,44.146816000000001
83,84,1,1,-93.859977999999998,44.082661000000002
84,85,1,1,-93.996444999999994,44.186295000000001
85,86,1,1,-93.996314999999996,44.185775999999997
86,87,1,1,-94.220832999999999,44.103603000000000
87,88,1,1,-94.167304999999999,43.961666000000001
88,89,1,1,-94.004570000000001,44.160336000000001
89,90,1,1,-93.976837000000003,44.150654000000003
90,91,1,1,-93.973274000000004,44.148640000000000
91,92,1,1,-93.970894000000001,44.147773999999998
92,93,1,1,-93.951012000000006,44.153300999999999
93,94,1,1,-93.817070000000001,44.202019000000000
94,95,1,1,-93.962433000000004,44.155200999999998
95,96,1,1,-93.973090999999997,44.159184000000003
96,97,1,1,-93.984954999999999,44.182487000000002
97,98,1,1,-93.886070000000004,44.154018000000001
98,99,1,1,-93.964782999999997,44.154612999999998
99,100,1,1,-93.892966999999999,44.160029999999999
100,101,1,1,-93.977233999999996,44.159179999999999
101,102,1,1,-93.981842000000000,44.160919000000000
102,103,1,1,-93.980293000000003,44.161144000000000
103,104,1,1,-94.009490999999997,44.155284999999999
104,105,1,1,-94.019524000000004,44.159050000000001
105,106,1,1,-94.166663999999997,43.958595000000003
106,107,1,1,-93.985366999999997,44.135078000000000
107,108,1,1,-94.725455999999994,44.296805999999997
108,109,1,1,-94.444266999999996,44.298431000000001
109,110,1,1,-94.722770999999995,44.295841000000003
110,111,1,1,-94.723335000000006,44.295901999999998
111,112,1,1,-94.979461999999998,44.241829000000003
112,113,1,1,-94.982117000000002,44.245139999999999
113,114,1,1,-94.432816000000003,44.285786000000002
114,115,1,1,-94.479073000000000,44.323078000000002
115,116,1,1,-94.478210000000004,44.322795999999997
116,117,1,1,-94.446303999999998,44.307406999999998
117,118,1,1,-93.584213000000005,44.800865000000002
118,119,1,1,-93.783524000000000,44.836796000000000
119,120,1,1,-93.597519000000005,44.801250000000003
120,121,1,1,-93.588042999999999,44.798237000000000
121,122,1,1,-93.781181000000004,44.832496999999996
122,123,1,1,-93.588524000000007,44.811000999999997
123,124,1,1,-93.796668999999994,44.777572999999997
124,125,1,1,-93.898430000000005,44.774104999999999
125,126,1,1,-93.927611999999996,44.769813999999997
126,127,1,1,-93.799980000000005,44.830975000000002
127,128,1,1,-94.885047999999998,43.991790999999999
128,129,1,1,-94.937447000000006,43.941101000000003
129,130,1,1,-94.148437999999999,43.708893000000003
130,131,1,1,-93.728652999999994,43.736964999999998
131,132,1,1,-94.105591000000004,43.642341999999999
132,133,1,1,-93.732787999999999,43.737147999999998
133,134,1,1,-93.732765000000001,43.737698000000002
134,135,1,1,-93.735320999999999,43.740527999999998
135,136,1,1,-94.110991999999996,43.644824999999997
136,137,1,1,-94.111168000000006,43.645470000000003
137,138,1,1,-93.711128000000002,43.538497999999997
138,139,1,1,-94.131805000000000,43.581412999999998
139,140,1,1,-94.093734999999995,43.504337000000000
140,141,1,1,-93.624106999999995,43.736823999999999
141,142,1,1,-93.639770999999996,43.697094000000000
142,143,1,1,-95.070175000000006,43.674809000000003
143,144,1,1,-94.978202999999993,43.623348000000000
144,145,1,1,-95.051276999999999,43.689140000000002
145,146,1,1,-93.594207999999995,44.435397999999999
146,147,1,1,-93.590851000000001,44.439213000000002
147,148,1,1,-93.580444000000000,44.540385999999998
148,149,1,1,-93.558639999999997,44.535072000000000
149,150,1,1,-93.560478000000003,44.213473999999998
150,151,1,1,-93.963425000000001,44.293297000000003
151,152,1,1,-93.688766000000001,44.208565000000000
152,153,1,1,-93.891463999999999,44.458976999999997
153,154,1,1,-93.580742000000001,44.539585000000002
154,155,1,1,-94.136414000000002,44.779533000000001
155,156,1,1,-94.155501999999998,44.762301999999998
156,157,1,1,-94.136275999999995,44.769337000000000
157,158,1,1,-94.144951000000006,44.773434000000002
158,159,1,1,-94.371475000000004,44.876728000000000
159,160,1,1,-94.158912999999998,44.767338000000002
160,161,1,1,-94.370018000000002,44.676631999999998
161,162,1,1,-94.455703999999997,43.656300000000002
162,163,1,1,-94.455460000000002,43.656128000000002
163,164,1,1,-94.455582000000007,43.664299000000000
164,165,1,1,-94.441811000000001,43.827595000000002
165,166,1,1,-94.460136000000006,43.666255999999997
166,167,1,1,-94.463950999999994,43.646785999999999
167,168,1,1,-94.444671999999997,43.637912999999998
168,169,1,1,-94.435149999999993,43.827506999999997
169,170,1,1,-94.460419000000002,43.648936999999997
170,171,1,1,-94.452278000000007,43.664729999999999
171,172,1,1,-94.461890999999994,43.652968999999999
172,173,1,1,-94.463538999999997,43.652045999999999
173,174,1,1,-94.616569999999996,43.672286999999997
174,175,1,1,-94.626273999999995,43.667641000000003
175,176,1,1,-94.471794000000003,43.646740000000001
176,177,1,1,-94.455055000000002,43.655830000000002
177,178,1,1,-94.457831999999996,43.655414999999998
178,179,1,1,-94.046843999999993,44.189762000000002
179,180,1,1,-94.033264000000003,44.178897999999997
180,181,1,1,-94.012908999999993,44.178077999999999
