FID,providerid,uid,caretype,price,capacity,quality,provider_l,provider_1
0,CNV7AX2C,1,family,212,45,1,-97.133780000000002,48.196420000000003
1,IHC6OK2I,2,center,251,96,3,-97.107460021999998,48.198520660400000
2,PZS4KY2A,3,center,479,78,1,-97.106660000000005,48.198250000000002
3,QUA5FH4T,4,center,405,79,2,-97.043189999999996,47.944279999999999
4,OQC9IV7G,5,family,290,40,4,-97.041079999999994,47.944110000000002
5,NQE8IF0G,6,family,131,12,4,-97.035579999999996,47.948270000000001
6,TZT2FQ5N,7,family,87,19,4,-97.035480000000007,47.943629999999999
7,MHT2YK9X,8,center,113,55,4,-97.034070000000000,47.945709999999998
8,NON5AV3W,9,family,142,13,2,-97.032899999999998,47.943640000000002
9,YQV8FF4C,10,center,419,83,1,-97.031769999999995,47.942599999999999
10,OLE1MD7P,11,family,200,35,2,-97.031768798800002,47.942871093800001
11,AWQ4OG9T,12,center,273,77,2,-97.031360000000006,47.939880000000002
12,IAW4DT3A,13,family,114,43,1,-97.028819999999996,47.934809999999999
13,UPJ7WO1P,14,family,5,35,2,-97.026920000000004,47.945419999999999
14,NSA5MF3Q,15,family,141,23,2,-97.024009704600005,47.936691284200002
15,QES3BC5J,16,family,255,8,1,-97.023092000000005,47.924570000000003
16,NHD0VD0L,17,family,186,40,1,-97.023089999999996,47.924570000000003
17,FLM6BD1P,18,family,259,43,2,-97.020709999999994,47.941609999999997
18,MDO4OQ9U,19,center,241,38,1,-97.020489999999995,47.931229999999999
19,BKA6MQ1Z,20,center,439,70,2,-97.019679999999994,47.930109999999999
20,QFY3FL0O,21,family,75,28,2,-97.019620000000003,47.928040000000003
21,MMZ7JV3A,22,family,97,38,4,-97.018039999999999,47.930430000000001
22,ZXQ5IZ9H,23,family,265,3,4,-97.017510000000001,47.926580000000001
23,VIT4XQ1S,24,family,158,49,3,-97.016891479500003,47.932380676299999
24,YJR5CJ6H,25,center,258,40,4,-97.016509999999997,47.932380000000002
25,HXB8JG8O,26,family,296,16,3,-97.014939999999996,47.930439999999997
26,PIF3LK8K,27,center,462,74,1,-97.014939999999996,47.930570000000003
27,RIM2XP2E,28,center,251,36,2,-97.013969421400006,47.930576324500002
28,AGC8LQ0W,29,family,137,9,3,-97.013660000000002,47.929160000000003
29,ZQL4LS1T,30,family,199,31,1,-97.012100000000004,47.911180000000002
30,RLT3FQ3M,31,family,79,49,2,-97.009649999999993,47.912379999999999
31,SMS1NW2J,32,center,320,82,2,-97.008349999999993,47.909430000000000
32,QYX1KS2X,33,family,86,11,4,-97.003879999999995,47.908050000000003
33,OGR4MR9Q,34,family,121,39,2,-97.003879999999995,47.908290000000001
34,HON0EB3X,35,center,459,96,1,-97.002700000000004,47.903019999999998
35,RLN3CG7N,36,center,261,20,2,-97.002679999999998,47.902729999999998
36,XLC0EM7E,37,family,123,47,3,-97.002480000000006,48.192869999999999
37,UMA2ZT6G,38,family,268,17,3,-97.002326965300000,48.192806243900002
38,GDE2OW5S,39,family,131,36,1,-97.002326965300000,48.192928314200003
39,ZCM6GH7W,40,family,28,36,1,-97.001890000000003,47.902870000000000
40,HWS9PC8U,41,family,209,28,2,-96.990762000000004,47.900849999999998
41,GGV7CI3C,42,center,448,27,4,-96.990761000000006,47.900849999999998
42,LLY8EO9B,43,center,255,27,4,-96.989738464400006,47.910045623800002
43,LYJ3WI2E,44,family,278,33,2,-96.989339999999999,47.907739999999997
44,OHF7VC6F,45,center,156,88,3,-96.976960000000005,47.843859999999999
45,AZG2RW4V,46,family,237,18,4,-96.976501464799995,47.843887329099999
46,UCG0AH4X,47,center,250,91,1,-96.947753906299994,48.778766632100002
47,XWW0SA2J,48,center,488,78,3,-96.945290000000000,48.778340000000000
48,BVV0MU8T,49,family,97,20,1,-96.939224243200002,48.774250030499999
49,VGX1OG4O,50,family,49,4,2,-96.938760000000002,48.773560000000003
50,IAH9UJ2C,51,family,242,1,3,-96.937850952100007,48.770408630399999
51,KUQ3PU5F,52,center,418,98,3,-96.937591552699999,48.773399353000002
52,NHO1YI2F,53,family,83,32,3,-96.935760000000002,48.773190000000000
53,SFQ7OV1M,54,family,156,17,1,-96.927289999999999,48.774780000000000
54,XQT1GF7Y,55,center,412,55,3,-96.921689999999998,47.853240000000000
55,VVL8DQ9S,56,family,27,50,1,-96.907430000000005,48.638739999999999
56,ZLJ3UD8F,57,center,254,91,2,-96.878288268999995,48.446292877200001
57,LST2PH0G,58,family,243,7,1,-96.877420000000001,48.447229999999998
58,RVG7YH5V,59,family,292,35,1,-96.876724243200002,48.451686859100001
59,CUC8RX3M,60,family,178,31,4,-96.876589999999993,48.451770000000003
60,SZT6KI5J,61,center,430,40,4,-96.832909999999998,45.595129999999997
61,JVB2MT8K,62,family,159,47,1,-96.830330000000004,45.591610000000003
62,KYQ2MA4E,63,family,58,3,4,-96.830093383800005,45.592960357700001
63,CVB3AY3H,64,family,236,45,2,-96.830061999999998,45.592820000000003
64,YAS1SU5J,65,family,213,4,3,-96.830061000000001,45.592820000000003
65,QQY3WD9O,66,family,49,4,1,-96.824309999999997,48.334049999999998
66,FUA5JB7B,67,family,240,26,1,-96.823880000000003,48.332960000000000
67,WNK9NU5F,68,family,127,38,3,-96.822310000000002,48.332250000000002
68,SOT6DE4E,69,center,130,68,4,-96.815449999999998,48.333219999999997
69,OZI3WH5S,70,family,121,44,1,-96.814760000000007,47.606610000000003
70,YTI4VH1W,71,center,448,93,1,-96.813850000000002,48.333159999999999
71,BYW4UK3K,72,family,145,18,2,-96.813735961899994,48.333305358899999
72,ZKS1VM4X,73,family,235,16,4,-96.812719999999999,47.608300000000000
73,VCE1DO1N,74,family,216,27,1,-96.809982299799998,48.859683990500002
74,JZA3FS1M,75,family,191,50,4,-96.809600000000003,48.861379999999997
75,FHD5SV6B,76,family,285,12,4,-96.807810000000003,47.264470000000003
76,CCD0OZ5A,77,center,215,77,3,-96.802862000000005,48.855829999999997
77,MGW8KN5I,78,family,267,35,1,-96.801739999999995,48.855480000000000
78,NMD3QV3U,79,center,185,57,4,-96.801727294900004,48.855316162100003
79,VGV7CJ5Y,80,family,187,29,4,-96.796682000000004,47.797229999999999
80,FJI2DR6L,81,family,201,47,2,-96.796660000000003,47.802430000000001
81,RIX4DJ0X,82,center,174,90,4,-96.795389999999998,47.797469999999997
82,LCY5PT5G,83,family,32,50,2,-96.783683776900006,46.963031768800001
83,WCQ6TY3G,84,center,174,98,4,-96.783000000000001,46.962170000000000
84,ZXJ2CV1U,85,family,145,46,3,-96.781234741199995,48.199062347400002
85,JZB5XT9H,86,family,116,6,3,-96.780950000000004,48.199069999999999
86,HBC4EF1S,87,family,86,23,4,-96.780677795399995,46.830165862999998
87,ORO3OL6V,88,family,293,45,4,-96.780559999999994,46.936929999999997
88,SXG4XJ0I,89,family,280,12,1,-96.777999877900001,46.844398498499999
89,PQS6KT8H,90,family,232,19,3,-96.777389999999997,46.861829999999998
90,AZK5XO7F,91,family,147,42,1,-96.777389526400000,46.862083435099997
91,KYG7FZ6U,92,family,265,24,3,-96.775520000000000,46.836100000000002
92,TYR0FX8D,93,family,274,9,3,-96.775049999999993,46.788840000000000
93,TJD9LJ3J,94,family,276,11,1,-96.772369999999995,46.840609999999998
94,KBI1FJ6K,95,family,251,12,1,-96.772340000000000,46.836610000000000
95,IJU2PF5B,96,family,58,45,2,-96.771519999999995,46.818779999999997
96,GIA6CU7Z,97,family,59,23,1,-96.770431518600006,46.835544586200001
97,BDS9VP1A,98,family,57,44,1,-96.770301818799993,46.869262695300002
98,OKS8UB2X,99,center,459,43,2,-96.770300000000006,46.869090000000000
99,IIW1SI4L,100,family,275,21,3,-96.769890000000004,46.824750000000002
100,OIP8MU9W,101,family,133,32,4,-96.769570000000002,46.833520000000000
101,GWS3UW4P,102,family,54,0,2,-96.769199999999998,46.823419999999999
102,NIH9MS8T,103,center,175,63,1,-96.769000000000005,46.839080000000003
103,BEN5TV0A,104,family,16,8,2,-96.768920898399998,46.823413848900003
104,VVM9YY4Q,105,family,82,8,4,-96.768400000000000,48.195010000000003
105,ZZX0GK8S,106,family,239,28,1,-96.767489999999995,46.852559999999997
106,KZZ1GW5P,107,center,413,93,3,-96.767480000000006,46.852550000000001
107,JMR4UT4D,108,family,249,32,4,-96.766689999999997,46.885449999999999
108,YKT7AR2G,109,center,407,27,1,-96.766009999999994,46.838870000000000
109,DQI6TQ3X,110,center,135,94,3,-96.765792846699995,46.839771270800000
110,TMS7QB8Q,111,family,235,35,3,-96.765780000000007,46.838880000000003
111,ATU4ZK3J,112,family,240,5,3,-96.765490000000000,46.888869999999997
112,KBA3KG5W,113,family,52,43,1,-96.765280000000004,46.872010000000003
113,RTT1PE2D,114,center,467,78,1,-96.765129999999999,48.200090000000003
114,GFJ3TP7I,115,family,94,9,1,-96.764629999999997,46.839579999999998
115,SDS1UR2B,116,center,481,53,4,-96.764205932600007,46.854045867899998
116,ASP5RT0Y,117,family,60,1,2,-96.763520000000000,46.883220000000001
117,IXR6EI7W,118,family,292,28,3,-96.763400000000004,48.196550000000002
118,QCB4WR4H,119,family,51,8,2,-96.762634277299995,46.883228301999999
119,KYD8HO2Y,120,family,135,46,2,-96.762275695800000,46.839900970499997
120,XNQ6YU2Z,121,center,128,62,4,-96.762275695800000,46.849536895800000
121,NCL7YO0O,122,family,261,13,4,-96.762159999999994,46.839590000000001
122,HOU5KS6Y,123,center,397,80,4,-96.761830000000003,46.842300000000002
123,THH0VC7M,124,family,142,31,2,-96.761795043899994,46.853111267099997
124,MJN2EC8P,125,family,77,30,2,-96.761300000000006,46.837710000000001
125,CBE8QF8F,126,center,302,42,4,-96.760948181200007,46.837711334200002
126,SSW5DZ1S,127,center,226,86,4,-96.760260000000002,46.879730000000002
127,BJL8TU5B,128,family,278,50,1,-96.759979999999999,46.845359999999999
128,HMT2LD9S,129,family,281,42,4,-96.759129999999999,46.837370000000000
129,HVY7LW5F,130,center,115,62,1,-96.758279999999999,46.861919999999998
130,PYV3DQ5Y,131,family,55,1,4,-96.757720000000006,46.885980000000004
131,BTL9DW4R,132,family,10,10,2,-96.757415771500007,46.850410461400003
132,XDX1HG6N,133,family,79,42,3,-96.757324218799994,46.882980346700002
133,LYA6BQ2M,134,family,3,43,4,-96.757189999999994,46.851999999999997
134,WIO5GA0N,135,family,56,35,4,-96.757099999999994,46.853619999999999
135,YBR1WU9T,136,family,153,24,4,-96.756649999999993,46.848889999999997
136,ACU8JY7W,137,center,200,89,3,-96.756469999999993,46.858269999999997
