objectid,income,race,family_long,family_lat
1,1,1,-95.438629,44.044136
2,1,1,-95.766563,44.448402
3,1,1,-95.768799,44.451
4,1,1,-95.769272,44.451511
5,1,1,-95.780678,44.430096
6,1,1,-95.873871,44.232109
7,1,1,-95.785919,44.44611
8,1,1,-95.627121,44.239346
9,1,1,-95.804688,44.432449
10,1,1,-95.989998,44.339016
11,1,1,-95.816872,44.435028
12,1,1,-96.067665,44.601814
13,1,1,-95.788483,44.454376
14,1,1,-95.792282,44.451283
15,1,1,-95.979736,44.561989
16,1,1,-95.787048,44.333729
17,1,1,-95.788887,44.430584
18,1,1,-95.758484,44.462467
19,1,1,-95.77005,44.456673
20,1,1,-95.780807,44.45575
21,1,1,-95.784393,44.459736
22,1,1,-95.788467,44.459499
23,1,1,-95.772133,44.449001
24,1,1,-95.941185,43.631428
25,1,1,-95.570427,43.778786
26,1,1,-96.021629,43.515976
27,1,1,-95.587914,43.638386
28,1,1,-95.584846,43.612869
29,1,1,-95.601479,43.620537
30,1,1,-96.016174,43.515194
31,1,1,-95.96656,43.679283
32,1,1,-96.003654,43.795589
33,1,1,-95.565598,43.535637
34,1,1,-95.825493,43.763927
35,1,1,-95.60656,43.622551
36,1,1,-95.574875,43.804226
37,1,1,-95.828354,43.763252
38,1,1,-95.594414,43.624527
39,1,1,-95.594894,43.623684
40,1,1,-95.582359,43.618561
41,1,1,-95.650612,43.57309
42,1,1,-95.608498,43.536411
43,1,1,-95.581871,43.618923
44,1,1,-95.472015,43.694336
45,1,1,-95.828621,43.760433
46,1,1,-96.314522,43.999146
47,1,1,-96.311386,43.999691
48,1,1,-96.121826,43.996464
49,1,1,-96.312447,43.999565
50,1,1,-96.312981,44.000359
51,1,1,-96.314819,43.998108
52,1,1,-96.322624,43.998089
53,1,1,-96.321724,43.993614
54,1,1,-96.323845,44.001785
55,1,1,-96.32695,44.004166
56,1,1,-96.311623,43.995152
57,1,1,-95.545593,44.370098
58,1,1,-96.215279,43.665859
59,1,1,-96.209183,43.658051
60,1,1,-96.216507,43.650635
61,1,1,-96.219604,43.649948
62,1,1,-96.204712,43.652519
63,1,1,-96.215912,43.645058
64,1,1,-96.352676,43.527359
65,1,1,-96.209724,43.658131
66,1,1,-96.2173,43.647774
67,1,1,-96.203445,43.65662
68,1,1,-96.218529,43.654705
69,1,1,-96.208054,43.654751
70,1,1,-95.803917,44.791924
71,1,1,-95.546661,44.807652
72,1,1,-93.984177,44.182465
73,1,1,-93.963364,43.923439
74,1,1,-93.974403,44.157497
75,1,1,-93.974525,44.157295
76,1,1,-93.974632,44.157299
77,1,1,-93.885536,44.158485
78,1,1,-94.007706,44.15757
79,1,1,-93.874397,44.164894
80,1,1,-93.818115,44.198605
81,1,1,-94.201866,44.064518
82,1,1,-94.158798,44.046391
83,1,1,-93.97364,44.146816
84,1,1,-93.859978,44.082661
85,1,1,-93.996445,44.186295
86,1,1,-93.996315,44.185776
87,1,1,-94.220833,44.103603
88,1,1,-94.167305,43.961666
89,1,1,-94.00457,44.160336
90,1,1,-93.976837,44.150654
91,1,1,-93.973274,44.14864
92,1,1,-93.970894,44.147774
93,1,1,-93.951012,44.153301
94,1,1,-93.81707,44.202019
95,1,1,-93.962433,44.155201
96,1,1,-93.973091,44.159184
97,1,1,-93.984955,44.182487
98,1,1,-93.88607,44.154018
99,1,1,-93.964783,44.154613
100,1,1,-93.892967,44.16003
101,1,1,-93.977234,44.15918
102,1,1,-93.981842,44.160919
103,1,1,-93.980293,44.161144
104,1,1,-94.009491,44.155285
105,1,1,-94.019524,44.15905
106,1,1,-94.166664,43.958595
107,1,1,-93.985367,44.135078
108,1,1,-94.725456,44.296806
109,1,1,-94.444267,44.298431
110,1,1,-94.722771,44.295841
111,1,1,-94.723335,44.295902
112,1,1,-94.979462,44.241829
113,1,1,-94.982117,44.24514
114,1,1,-94.432816,44.285786
115,1,1,-94.479073,44.323078
116,1,1,-94.47821,44.322796
117,1,1,-94.446304,44.307407
118,1,1,-93.584213,44.800865
119,1,1,-93.783524,44.836796
120,1,1,-93.597519,44.80125
121,1,1,-93.588043,44.798237
122,1,1,-93.781181,44.832497
123,1,1,-93.588524,44.811001
124,1,1,-93.796669,44.777573
125,1,1,-93.89843,44.774105
126,1,1,-93.927612,44.769814
127,1,1,-93.79998,44.830975
128,1,1,-94.885048,43.991791
129,1,1,-94.937447,43.941101
130,1,1,-94.148438,43.708893
131,1,1,-93.728653,43.736965
132,1,1,-94.105591,43.642342
133,1,1,-93.732788,43.737148
134,1,1,-93.732765,43.737698
135,1,1,-93.735321,43.740528
136,1,1,-94.110992,43.644825
137,1,1,-94.111168,43.64547
138,1,1,-93.711128,43.538498
139,1,1,-94.131805,43.581413
140,1,1,-94.093735,43.504337
141,1,1,-93.624107,43.736824
142,1,1,-93.639771,43.697094
143,1,1,-95.070175,43.674809
144,1,1,-94.978203,43.623348
145,1,1,-95.051277,43.68914
146,1,1,-93.594208,44.435398
147,1,1,-93.590851,44.439213
148,1,1,-93.580444,44.540386
149,1,1,-93.55864,44.535072
150,1,1,-93.560478,44.213474
151,1,1,-93.963425,44.293297
152,1,1,-93.688766,44.208565
153,1,1,-93.891464,44.458977
154,1,1,-93.580742,44.539585
155,1,1,-94.136414,44.779533
156,1,1,-94.155502,44.762302
157,1,1,-94.136276,44.769337
158,1,1,-94.144951,44.773434
159,1,1,-94.371475,44.876728
160,1,1,-94.158913,44.767338
161,1,1,-94.370018,44.676632
162,1,1,-94.455704,43.6563
163,1,1,-94.45546,43.656128
164,1,1,-94.455582,43.664299
165,1,1,-94.441811,43.827595
166,1,1,-94.460136,43.666256
167,1,1,-94.463951,43.646786
168,1,1,-94.444672,43.637913
169,1,1,-94.43515,43.827507
170,1,1,-94.460419,43.648937
171,1,1,-94.452278,43.66473
172,1,1,-94.461891,43.652969
173,1,1,-94.463539,43.652046
174,1,1,-94.61657,43.672287
175,1,1,-94.626274,43.667641
176,1,1,-94.471794,43.64674
177,1,1,-94.455055,43.65583
178,1,1,-94.457832,43.655415
179,1,1,-94.046844,44.189762
180,1,1,-94.033264,44.178898
181,1,1,-94.012909,44.178078
182,1,1,-94.043495,44.187225
183,1,1,-94.014778,44.178764
184,1,1,-94.012054,44.176785
185,1,1,-94.0438,44.185715
186,1,1,-94.010323,44.177929
187,1,1,-94.012878,44.179169
188,1,1,-94.042114,44.167446
189,1,1,-94.031609,44.196602
190,1,1,-94.047424,44.188503
191,1,1,-94.047516,44.188869
192,1,1,-94.038231,44.174553
193,1,1,-94.011703,44.167805
194,1,1,-94.050987,44.172695
195,1,1,-93.952003,44.336792
196,1,1,-93.955521,44.337215
197,1,1,-95.11441,44.546341
198,1,1,-95.247093,44.526413
199,1,1,-94.729927,44.746548
200,1,1,-94.988861,44.779392
201,1,1,-94.986534,44.781639
202,1,1,-94.62883,44.737995
203,1,1,-94.718239,44.518406
204,1,1,-94.987717,44.779602
205,1,1,-94.985283,44.779385
206,1,1,-94.72068,44.530865
207,1,1,-93.523636,44.273926
208,1,1,-93.564796,44.781937
209,1,1,-94.077248,44.621181
210,1,1,-94.362617,44.53804
211,1,1,-94.083252,44.611797
212,1,1,-94.366142,44.538155
213,1,1,-94.422729,44.047199
214,1,1,-94.83709,44.050587
215,1,1,-94.378731,43.910053
216,1,1,-96.589661,45.527695
217,1,1,-96.448006,45.311474
218,1,1,-96.425591,45.296986
219,1,1,-96.172188,45.226055
220,1,1,-96.443916,45.307804
221,1,1,-95.718224,44.959206
222,1,1,-95.72168,44.92791
223,1,1,-95.722008,44.960781
224,1,1,-95.466423,45.015255
225,1,1,-95.709122,44.937931
226,1,1,-95.712341,44.93726
227,1,1,-95.640892,46.009666
228,1,1,-95.555588,46.042141
229,1,1,-95.585831,45.966686
230,1,1,-96.204826,45.842648
231,1,1,-95.816681,45.829807
232,1,1,-95.819168,46.092625
233,1,1,-96.433212,45.047375
234,1,1,-96.064125,46.188789
235,1,1,-95.44471,46.323734
236,1,1,-96.07148,46.287022
237,1,1,-95.549141,46.414547
238,1,1,-95.706001,46.223919
239,1,1,-96.185013,46.317371
240,1,1,-95.44957,46.323555
241,1,1,-95.450096,46.322674
242,1,1,-95.693832,46.138466
243,1,1,-96.08712,46.284126
244,1,1,-96.055519,46.292992
245,1,1,-96.054649,46.292797
246,1,1,-96.055138,46.293743
247,1,1,-96.051971,46.295296
248,1,1,-96.050964,46.294956
249,1,1,-96.051262,46.295094
250,1,1,-96.044502,46.292328
251,1,1,-96.047272,46.289265
252,1,1,-96.030251,46.286259
253,1,1,-96.028313,46.29018
254,1,1,-96.087906,46.285923
255,1,1,-95.448486,46.324261
256,1,1,-95.725182,45.655323
257,1,1,-95.735428,45.61488
258,1,1,-95.737518,45.6157
259,1,1,-96.173386,45.570843
260,1,1,-95.789207,45.535069
261,1,1,-95.917824,45.586777
262,1,1,-96.024277,45.203167
263,1,1,-96.83004,45.595993
264,1,1,-96.587807,46.254509
265,1,1,-96.578415,46.259449
266,1,1,-96.514297,46.265385
267,1,1,-96.582367,46.259232
268,1,1,-93.50972,45.261848
269,1,1,-93.493912,45.313286
270,1,1,-94.190697,45.606815
271,1,1,-94.189545,45.606514
272,1,1,-94.14595,45.601707
273,1,1,-94.178917,45.597755
274,1,1,-94.180328,45.598984
275,1,1,-94.17791,45.605457
276,1,1,-94.158333,45.584255
277,1,1,-94.132355,45.561268
278,1,1,-94.132874,45.562317
279,1,1,-94.133827,45.582748
280,1,1,-94.157074,45.571667
281,1,1,-94.144112,45.569416
282,1,1,-94.171173,45.592831
283,1,1,-94.187798,45.607449
284,1,1,-94.14695,45.584972
285,1,1,-94.181351,45.596069
286,1,1,-94.178642,45.595348
287,1,1,-94.178444,45.595276
288,1,1,-94.132027,45.591568
289,1,1,-94.129089,45.592136
290,1,1,-94.166199,45.607971
291,1,1,-94.180092,45.602325
292,1,1,-94.159088,45.582329
293,1,1,-94.201241,45.706905
294,1,1,-94.166313,45.602573
295,1,1,-94.193222,45.734272
296,1,1,-94.16301,45.606983
297,1,1,-94.173225,45.596172
298,1,1,-94.173492,45.596962
299,1,1,-94.16861,45.59687
300,1,1,-94.161316,45.588154
301,1,1,-94.183403,45.603432
302,1,1,-94.183899,45.602932
303,1,1,-94.183083,45.602409
304,1,1,-94.182304,45.603745
305,1,1,-94.181328,45.607609
306,1,1,-94.18425,45.602985
307,1,1,-94.185532,45.601276
308,1,1,-94.182083,45.605572
309,1,1,-94.182472,45.604504
310,1,1,-94.184593,45.602825
311,1,1,-94.179169,45.607773
312,1,1,-94.172188,45.592205
313,1,1,-94.225914,45.754166
314,1,1,-94.164963,45.589996
315,1,1,-94.155685,45.566143
316,1,1,-94.138863,45.593124
317,1,1,-94.163124,45.589336
318,1,1,-94.178566,45.601536
319,1,1,-94.171089,45.598057
320,1,1,-94.145645,45.562702
321,1,1,-93.922028,44.94836
322,1,1,-93.829811,44.956669
323,1,1,-93.851982,44.960793
324,1,1,-93.966682,44.887222
325,1,1,-93.901337,44.924347
326,1,1,-94.476234,46.325806
327,1,1,-94.642975,46.343601
328,1,1,-94.65274,46.35183
329,1,1,-94.670998,46.372276
330,1,1,-94.475845,46.323204
331,1,1,-94.474426,46.322311
332,1,1,-94.545685,46.351784
333,1,1,-94.627533,46.345531
334,1,1,-95.314354,44.905399
335,1,1,-95.394806,45.140656
336,1,1,-95.304604,45.129642
337,1,1,-94.199646,46.35619
338,1,1,-94.194809,46.34343
339,1,1,-94.210152,46.329746
340,1,1,-94.166756,46.347836
341,1,1,-94.245796,46.328053
342,1,1,-94.215294,46.353142
343,1,1,-94.187469,46.35384
344,1,1,-94.173561,46.3517
345,1,1,-94.174446,46.351742
346,1,1,-94.196205,46.354191
347,1,1,-94.196274,46.353855
348,1,1,-94.19619,46.354645
349,1,1,-94.190628,46.353275
350,1,1,-94.212357,46.347775
351,1,1,-94.195801,46.347225
352,1,1,-94.106697,46.37138
353,1,1,-94.211853,46.35004
354,1,1,-93.904549,46.209148
355,1,1,-94.18161,46.353123
356,1,1,-94.269547,46.364254
357,1,1,-94.164124,46.347721
358,1,1,-94.167274,46.350075
359,1,1,-94.165359,46.349247
360,1,1,-94.196434,46.34684
361,1,1,-94.198761,46.34441
362,1,1,-94.199883,46.346668
363,1,1,-94.261047,46.320652
364,1,1,-94.162163,46.256439
365,1,1,-94.198196,46.35548
366,1,1,-94.205818,46.326996
367,1,1,-94.288467,46.285473
368,1,1,-94.174622,46.348095
