providerid,uid,caretype,price,capacity,quality,provider_long,provider_lat
CBL5KT2P,1,family,30,14,4,-97.13378,48.19642
UIM7GW7F,2,center,367,90,3,-97.10746002197266,48.19852066040039
FSE0JC3V,3,family,109,24,2,-97.10666000000001,48.19825
IEO0GU6L,4,family,13,38,4,-97.04319,47.94428
NZC4HP8I,5,center,197,69,1,-97.04107999999999,47.94411
HLN6BD1G,6,family,138,17,2,-97.03558,47.94827
NVA1CJ9V,7,family,94,23,3,-97.03548000000001,47.94363
IIP0UO7G,8,family,66,20,3,-97.03407,47.94571
MLI6HC5W,9,family,15,23,2,-97.0329,47.94364
OIL5KL8Z,10,center,170,89,4,-97.03177,47.9426
LOP5SJ6T,11,center,312,62,3,-97.03176879882813,47.94287109375
IBB4SE1Y,12,family,160,9,1,-97.03136000000001,47.93988
COZ9HJ8H,13,family,84,47,1,-97.02882,47.93481
RQS4DE3P,14,family,210,19,1,-97.02692,47.94542
MXZ1WO1S,15,family,168,23,4,-97.02400970458984,47.93669128417969
YWJ1CZ1P,16,family,261,24,4,-97.02309200000001,47.92457
JXE4NT5W,17,family,244,43,3,-97.02309,47.92457
TTV8GJ8N,18,family,179,9,2,-97.02070999999999,47.94161
BQH3QH8L,19,center,109,86,1,-97.02049,47.93123
EJF0YB8J,20,center,424,77,1,-97.01967999999999,47.93011
XTA0SR2J,21,family,125,3,4,-97.01962,47.92804
GLA7KC1J,22,family,148,8,1,-97.01804,47.93043
JQO1YW4N,23,family,81,27,3,-97.01751,47.92658
STL4UR5Q,24,family,203,38,3,-97.01689147949219,47.93238067626953
QYP0LC5Y,25,family,119,50,3,-97.01651,47.93238
RGQ8BV7S,26,family,162,27,1,-97.01494,47.93044
ICW1SS9O,27,family,72,5,2,-97.01494,47.93057
WMU2TG2Z,28,center,446,46,4,-97.01396942138672,47.93057632446289
TZC9NM3Q,29,center,344,20,4,-97.01366,47.92916
DQD3UU8G,30,family,298,33,1,-97.0121,47.91118
MZB8WG8W,31,family,65,2,4,-97.00964999999999,47.91238
MKI7KZ1M,32,family,138,35,3,-97.00834999999999,47.90943
IVQ5JS7L,33,family,292,28,2,-97.00388,47.90805
THR6OP2D,34,center,365,75,1,-97.00388,47.90829
EOR3FL9V,35,center,174,53,2,-97.0027,47.90302
OHK8WL5H,36,center,355,84,4,-97.00268,47.90273
TXL5XI5B,37,family,68,42,1,-97.00248000000001,48.19287
MMB2OS0D,38,family,16,20,4,-97.00232696533203,48.19280624389648
UCI0VS5L,39,family,183,48,2,-97.00232696533203,48.19292831420898
LCF0BY4D,40,family,129,25,2,-97.00189,47.90287
OBS8WB4P,41,family,282,41,2,-96.990762,47.90085
CAC0IR5H,42,family,235,21,2,-96.99076100000001,47.90085
NNG3KH8R,43,family,240,3,4,-96.98973846435547,47.9100456237793
CZY8DO7K,44,family,42,16,1,-96.98934,47.90774
MUJ0WC9A,45,family,76,13,3,-96.97696000000001,47.84386
CEE7AH8J,46,family,61,48,2,-96.97650146484375,47.84388732910156
ZCH1TY0V,47,family,277,8,3,-96.94775390625,48.77876663208008
QNT9JR4R,48,center,205,90,4,-96.94529,48.77834
EQS9ZY8C,49,center,225,32,3,-96.93922424316406,48.77425003051758
SPV1UU1K,50,family,218,4,3,-96.93876,48.77356
ZBW9GE7Q,51,family,188,36,2,-96.93785095214844,48.77040863037109
AZF3KD4U,52,family,194,49,4,-96.93759155273438,48.77339935302734
FXD2WI4E,53,family,286,48,3,-96.93576,48.77319
IUM8KV2I,54,family,56,34,3,-96.92729,48.77478
EVS7EE3A,55,family,282,29,1,-96.92169,47.85324
VQY2UK6B,56,family,220,15,3,-96.90743000000001,48.63874
